Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Mr. Deeds - Milioner z przypadku;4;6.3;28 czerwiec 2002;2002;34 028;Komedia;USA;1 godz. 36 min.;Steven Brill
Straszny film 5;6;4.7;11 kwiecieÒ 2013;2013;53 665;Komedia;USA;1 godz. 25 min.;Malcolm D. Lee
Ant-Man i Osa;NaN;6.8;25 czerwiec 2018;2018;81 454;Akcja;USA;1 godz. 58 min.;Peyton Reed
Parasol bezpieczeÒstwa;6;6.7;15 styczeÒ 2003;2003;13 943;Komedia;USA;1 godz. 28 min.;Dennis Dugan
Egzorcyzmy Emily Rose;8;7.0;1 wrzesieÒ 2005;2005;200 717;Dramat;USA;1 godz. 59 min.;Scott Derrickson
Ostatni bastion;7;7.5;19 paüdziernik 2001;2001;44 903;Dramat;USA;2 godz. 10 min.;Rod Lurie
Zabicie úwiÍtego jelenia;4;6.5;22 maj 2017;2017;34 022;Thriller;Irlandia;2 godz. 1 min.;Jorgos Lantimos
Maruderzy;6;6.0;1 lipiec 2016;2016;8 115;Akcja;Kanada;1 godz. 47 min.;Steven C. Miller
Cudzoziemiec;4;6.8;24 wrzesieÒ 2017;2017;15 829;Thriller;Chiny;1 godz. 54 min.;Martin Campbell
Pacific Rim: Rebelia;5;5.6;22 luty 2018;2018;28 458;Akcja;Chiny;1 godz. 51 min.;Steven S. DeKnight
Tower Heist: Zemsta cieciÛw;4;6.1;24 paüdziernik 2011;2011;30 213;Akcja;USA;1 godz. 44 min.;Brett Ratner
Ciche miejsce;7;6.6;9 marzec 2018;2018;99 787;Horror;USA;1 godz. 35 min.;John Krasinski
Mg≥a;3;5.8;12 listopad 2007;2007;223 397;Horror;USA;2 godz. 6 min.;Frank Darabont
Rampage: Dzika furia;5;5.9;11 kwiecieÒ 2018;2018;33 640;Akcja;USA;1 godz. 47 min.;Brad Peyton
Naznaczony: rozdzia≥ 3;NaN;6.2;28 maj 2015;2015;38 118;Horror;Kanada;1 godz. 37 min.;Leigh Whannell
Naznaczony: rozdzia≥ 2;7;6.7;13 wrzesieÒ 2013;2013;50 719;Horror;Kanada;1 godz. 45 min.;James Wan
Naznaczony;4;6.7;14 wrzesieÒ 2010;2010;90 290;Horror;Kanada;1 godz. 43 min.;James Wan
Najlepszy;5;8.1;21 wrzesieÒ 2017;2017;93 838;Biograficzny;Polska;1 godz. 50 min.;£ukasz Palkowski
Zodiak;6;7.2;28 luty 2007;2007;194 478;Dramat;USA;2 godz. 38 min.;David Fincher
ØÛ≥todzioby;4;6.1;21 styczeÒ 2017;2017;1 639;Dramat;USA;1 godz. 34 min.;Alexandre Moors
Lot Feniksa;9;6.5;17 grudzieÒ 2004;2004;17 622;Przygodowy;USA;1 godz. 53 min.;John Moore
Kobiety mafii;7;5.1;20 luty 2018;2018;78 976;Sensacyjny;Polska;2 godz. 18 min.;Patryk Vega
Paranoja;8;6.2;15 sierpieÒ 2013;2013;28 829;Thriller;Francja;1 godz. 46 min.;Robert Luketic
Przypadek 39;5;6.6;13 sierpieÒ 2009;2009;68 168;Horror;Kanada;1 godz. 49 min.;Christian Alvart
Blok 99;8;6.6;2 wrzesieÒ 2017;2017;13 723;Krymina≥;USA;2 godz. 12 min.;S. Craig Zahler
Ghost in the Shell;6;6.4;16 marzec 2017;2017;88 080;Thriller;Chiny;1 godz. 46 min.;Rupert Sanders
Ocalony;4;7.5;12 listopad 2013;2013;82 372;Dramat;USA;2 godz. 1 min.;Peter Berg
13 godzin: Tajna misja w Benghazi;5;7.3;12 styczeÒ 2016;2016;33 179;Dramat;USA;2 godz. 24 min.;Michael Bay
Skok stulecia;7;7.1;17 styczeÒ 2018;2018;21 191;Sensacyjny;USA;2 godz. 20 min.;Christian Gudegast
Linia øycia;3;5.7;25 wrzesieÒ 2017;2017;37 673;Horror;USA;1 godz. 50 min.;Niels Arden Oplev
Film o pszczo≥ach;7;6.4;28 paüdziernik 2007;2007;60 068;Animacja;USA;1 godz. 30 min.;Steve Hickner
Agenci;6;6.7;30 lipiec 2013;2013;51 043;Akcja;USA;1 godz. 49 min.;Baltasar Korm·kur
KrÛlewna ånieøka i £owca;5;6.3;14 maj 2012;2012;150 446;Fantasy;USA;2 godz. 7 min.;Rupert Sanders
Øycie.po.Øyciu;6;6.4;7 listopad 2009;2009;18 029;Dramat;USA;1 godz. 44 min.;Agnieszka WÛjtowicz-Vosloo
ZdjÍcie w godzinÍ;8;6.6;13 styczeÒ 2002;2002;21 817;Thriller;USA;1 godz. 36 min.;Mark Romanek
WiÍzieÒ labiryntu: Lek na úmierÊ;6;6.6;17 styczeÒ 2018;2018;56 998;Thriller;USA;2 godz. 22 min.;Wes Ball
Dwunastu odwaønych;3;6.4;17 styczeÒ 2018;2018;9 763;Dramat;USA;2 godz. 10 min.;Nicolai Fuglsig
KrÛl rozrywki;6;7.6;20 grudzieÒ 2017;2017;51 539;Biograficzny;USA;1 godz. 45 min.;Michael Gracey
451∞ Fahrenheita;9;4.9;12 maj 2018;2018;5 120;Dramat;USA;1 godz. 40 min.;Ramin Bahrani
£adunek;4;6.0;6 paüdziernik 2017;2017;13 200;Thriller;Australia;1 godz. 45 min.;Ben Howling
Strzelec;7;7.5;8 marzec 2007;2007;114 749;Sensacyjny;USA;2 godz. 4 min.;Antoine Fuqua
Drabina Jakubowa;6;7.6;29 paüdziernik 1990;1990;37 426;Thriller;USA;1 godz. 55 min.;Adrian Lyne
PozwÛl mi wejúÊ;5;6.7;26 styczeÒ 2008;2008;38 371;Horror;Szwecja;1 godz. 54 min.;Tomas Alfredson
Sierociniec;7;6.9;20 maj 2007;2007;148 216;Dramat;Hiszpania;1 godz. 45 min.;J.A. Bayona
10.000 B.C.;NaN;6.1;22 luty 2008;2008;37 315;Przygodowy;RPA;1 godz. 49 min.;Roland Emmerich
GÍsia skÛrka;NaN;5.8;3 paüdziernik 2015;2015;22 133;Horror;Australia;1 godz. 43 min.;Rob Letterman
Zaginiony lπd;4;5.1;5 czerwiec 2009;2009;9 371;Komedia;USA;1 godz. 41 min.;Brad Silberling
Doom;4;5.5;20 paüdziernik 2005;2005;33 961;Horror;Czechy;1 godz. 45 min.;Andrzej Bartkowiak
Tarzan: Legenda;5;6.0;27 czerwiec 2016;2016;50 325;Przygodowy;USA;1 godz. 49 min.;David Yates
BÛg nie umar≥;4;6.3;21 marzec 2014;2014;49 441;Dramat;USA;1 godz. 52 min.;Harold Cronk
Ojcowie i cÛrki;8;7.2;1 paüdziernik 2015;2015;21 623;Dramat;USA;1 godz. 56 min.;Gabriele Muccino
Wojna øeÒsko-mÍska;2;3.3;25 luty 2011;2011;18 584;Komedia obycz.;Polska;1 godz. 45 min.;£ukasz Palkowski
Kac Wawa;1;2.9;2 marzec 2012;2011;66 925;Komedia;Polska;1 godz. 40 min.;£ukasz Karwowski
Karol - cz≥owiek, ktÛry zosta≥ papieøem;3;6.9;14 kwiecieÒ 2005;2005;164 633;Biograficzny;Francja;3 godz. 6 min.;Giacomo Battiato
Och, Karol 2;8;4.9;21 styczeÒ 2011;2011;96 854;Komedia;Polska;1 godz. 45 min.;Piotr Wereúniak
17 Again;3;6.2;11 marzec 2009;2009;102 354;Komedia;USA;1 godz. 42 min.;Burr Steers
Cicha noc;4;7.4;21 wrzesieÒ 2017;2017;66 913;Dramat;Polska;1 godz. 37 min.;Piotr Domalewski
Slumber;7;5.0;10 listopad 2017;2017;7 674;Horror;USA;1 godz. 26 min.;Jonathan Hopkins
Smerfy 2;6;6.3;28 lipiec 2013;2013;30 249;Familijny;USA;1 godz. 45 min.;Raja Gosnell
Pandorum;3;6.8;25 wrzesieÒ 2009;2009;57 515;Horror;Niemcy;1 godz. 48 min.;Christian Alvart
Ksiπdz;NaN;5.9;26 kwiecieÒ 2011;2011;66 081;Horror;USA;1 godz. 27 min.;Scott Stewart
Nie ma jak w piekle;8;5.2;3 luty 2015;2015;8 178;Czarna komedia;USA;1 godz. 38 min.;Anthony Burns
Rings;5;4.7;1 luty 2017;2017;25 604;Horror;USA;1 godz. 42 min.;F. Javier GutiÈrrez
Spider-Man: Homecoming;4;7.2;28 czerwiec 2017;2017;136 831;Akcja;USA;2 godz. 13 min.;Jon Watts
Jeniec: Tak daleko jak nogi poniosπ;4;7.8;1 listopad 2001;2001;72 150;Dramat;Niemcy;2 godz. 38 min.;Hardy Martins
Kung Fu Panda;6;7.1;15 maj 2008;2008;143 625;Animacja;USA;1 godz. 32 min.;Mark Osborne
Opowieúci z Narnii: PodrÛø WÍdrowca do åwitu;8;6.8;2 grudzieÒ 2010;2010;79 986;Familijny;USA;1 godz. 55 min.;Michael Apted
Opowieúci z Narnii: KsiπøÍ Kaspian;7;6.8;9 maj 2008;2008;121 926;Familijny;Czechy;2 godz. 30 min.;Andrew Adamson
Auta;NaN;7.1;14 marzec 2006;2006;125 481;Animacja;USA;1 godz. 57 min.;John Lasseter
Geneza planety ma≥p;7;7.0;3 sierpieÒ 2011;2011;106 320;Dramat;USA;1 godz. 45 min.;Rupert Wyatt
Rio;NaN;6.9;22 marzec 2011;2011;52 091;Animacja;USA;1 godz. 36 min.;Carlos Saldanha
Toy Story 2;NaN;7.2;13 listopad 1999;1999;112 574;Animacja;USA;1 godz. 28 min.;Ash Brannon
Starcie tytanÛw;NaN;6.3;26 marzec 2010;2010;122 362;Fantasy;USA;1 godz. 46 min.;Louis Leterrier
Kung Fu Panda 3;NaN;7.2;16 styczeÒ 2016;2016;48 630;Animacja;Chiny;1 godz. 35 min.;Jennifer Yuh Nelson
Merida Waleczna;NaN;7.1;16 luty 2012;2012;132 654;Animacja;USA;1 godz. 30 min.;Mark Andrews
Ted;7;6.5;29 czerwiec 2012;2012;265 282;Komedia;USA;1 godz. 46 min.;Seth MacFarlane
Kot w butach;NaN;6.5;23 paüdziernik 2011;2011;76 428;Animacja;USA;1 godz. 30 min.;Chris Miller
Auta 2;NaN;6.6;18 czerwiec 2011;2011;58 781;Animacja;USA;1 godz. 46 min.;Brad Lewis
Krudowie;6;7.1;15 luty 2013;2013;72 823;Animacja;USA;1 godz. 38 min.;Chris Sanders
Madagaskar 2;NaN;7.1;30 paüdziernik 2008;2008;172 287;Animacja;USA;1 godz. 29 min.;Eric Darnell
Faceci w czerni 3;NaN;6.8;14 maj 2012;2012;124 520;Komedia;USA;1 godz. 46 min.;Barry Sonnenfeld
Iniemamocni;NaN;6.9;27 paüdziernik 2004;2004;137 327;Animacja;USA;1 godz. 55 min.;Brad Bird
Transformers;7;7.3;12 czerwiec 2007;2007;297 853;Akcja;USA;2 godz. 24 min.;Michael Bay
Uniwersytet Potworny;6;7.1;8 czerwiec 2013;2013;102 974;Animacja;USA;1 godz. 44 min.;Dan Scanlon
Opowieúci z Narnii: Lew, czarownica i stara szafa;8;7.0;7 grudzieÒ 2005;2005;273 522;Familijny;USA;2 godz. 23 min.;Andrew Adamson
2012;5;6.2;11 listopad 2009;2009;262 426;Sci-Fi;Kanada;2 godz. 38 min.;Roland Emmerich
DzieÒ Niepodleg≥oúci;NaN;7.2;25 czerwiec 1996;1996;219 615;Akcja;USA;2 godz. 25 min.;Roland Emmerich
Transformers: Zemsta upad≥ych;NaN;7.1;8 czerwiec 2009;2009;175 158;Akcja;USA;2 godz. 30 min.;Michael Bay
Shrek 2;8;7.4;8 maj 2004;2004;290 150;Animacja;USA;1 godz. 32 min.;Andrew Adamson
Gdzie jest Nemo;7;7.2;30 maj 2003;2003;190 328;Animacja;Australia;1 godz. 40 min.;Andrew Stanton
Gru, Dru i Minionki;NaN;6.5;14 czerwiec 2017;2017;47 107;Animacja;USA;1 godz. 36 min.;Kyle Balda
Piraci z KaraibÛw: Na nieznanych wodach;NaN;7.4;7 maj 2011;2011;293 415;Fantasy;USA;2 godz. 17 min.;Rob Marshall
Toy Story 3;5;7.2;12 czerwiec 2010;2010;142 208;Animacja;USA;1 godz. 43 min.;Lee Unkrich
Iron Man 3;NaN;7.4;12 kwiecieÒ 2013;2013;231 791;Akcja;Chiny;2 godz. 10 min.;Shane Black
Minionki;NaN;6.8;11 czerwiec 2015;2015;97 121;Animacja;USA;1 godz. 31 min.;Kyle Balda
Wysyp øywych trupÛw;6;6.7;29 marzec 2004;2004;45 584;Horror;Francja;1 godz. 39 min.;Edgar Wright
The Titan;6;4.7;3 luty 2018;2018;12 600;Sci-Fi;Hiszpania;1 godz. 37 min.;Lennart Ruff
Hot Fuzz - Ostre psy;4;7.1;14 luty 2007;2007;51 322;Komedia kryminalna;Francja;2 godz. 1 min.;Edgar Wright
Ave, Cezar!;8;5.8;1 luty 2016;2016;35 139;Dramat;Japonia;1 godz. 46 min.;Joel Coen
I Saw The Light. Historia Hanka Williamsa;7;5.8;11 wrzesieÒ 2015;2015;1 691;Biograficzny;USA;2 godz. 3 min.;Marc Abraham
PodrÛø do wnÍtrza Ziemi;5;6.3;10 lipiec 2008;2008;36 285;Przygodowy;USA;1 godz. 32 min.;Eric Brevig
Lot;NaN;7.4;14 paüdziernik 2012;2012;133 954;Dramat;USA;2 godz. 18 min.;Robert Zemeckis
BÍkarty wojny;8;8.0;20 maj 2009;2009;559 083;Wojenny;Niemcy;2 godz. 33 min.;Quentin Tarantino
Amityville: Przebudzenie;9;5.3;10 marzec 2017;2017;9 575;Horror;USA;1 godz. 25 min.;Franck Khalfoun
Jumanji: Przygoda w døungli;6;6.6;5 grudzieÒ 2017;2017;90 130;Fantasy;USA;1 godz. 59 min.;Jake Kasdan
Jumanji;5;6.8;15 grudzieÒ 1995;1995;251 267;Fantasy;USA;1 godz. 44 min.;Joe Johnston
Bez s≥owa;8;5.3;23 luty 2018;2018;7 320;Thriller;Niemcy;2 godz. 6 min.;Duncan Jones
Planeta Singli;4;7.1;25 styczeÒ 2016;2016;161 736;Komedia rom.;Polska;2 godz. 16 min.;Mitja Okorn
SzÛsty zmys≥;7;7.8;2 sierpieÒ 1999;1999;619 026;Thriller;USA;1 godz. 47 min.;M. Night Shyamalan
Gwiezdne wojny: Ostatni Jedi;8;6.9;9 grudzieÒ 2017;2017;139 117;Przygodowy;USA;2 godz. 32 min.;Rian Johnson
Sygna≥;6;5.9;20 styczeÒ 2014;2014;17 158;Thriller;USA;1 godz. 35 min.;William Eubank
Tron: Dziedzictwo;5;6.6;30 listopad 2010;2010;92 901;Akcja;USA;2 godz. 7 min.;Joseph Kosinski
Siedem minut po pÛ≥nocy;6;7.4;9 wrzesieÒ 2016;2016;36 483;Dramat;Hiszpania;1 godz. 48 min.;J.A. Bayona
Kszta≥t wody;8;6.4;31 sierpieÒ 2017;2017;115 905;Fantasy;USA;1 godz. 59 min.;Guillermo del Toro
Thor: Ragnarok;7;7.8;10 paüdziernik 2017;2017;160 530;Fantasy;USA;2 godz. 10 min.;Taika Waititi
Z≥e mamuúki 2: Jak przetrwaÊ úwiÍta;7;6.1;1 listopad 2017;2017;25 866;Komedia;Chiny;1 godz. 56 min.;Jon Lucas
Thor: Mroczny úwiat;4;7.0;22 paüdziernik 2013;2013;182 680;Fantasy;USA;1 godz. 52 min.;Alan Taylor
Anihilacja;4;6.2;13 luty 2018;2018;90 095;Thriller;USA;1 godz. 55 min.;Alex Garland
Azyl;7;7.2;12 marzec 2017;2017;41 255;Biograficzny;Czechy;2 godz. 6 min.;Niki Caro
Umys≥ przestÍpcy;6;6.4;5 kwiecieÒ 2016;2016;25 853;Dramat;USA;1 godz. 53 min.;Ariel Vromen
Blade Runner 2049;7;7.5;3 paüdziernik 2017;2017;149 120;Thriller;Kanada;2 godz. 43 min.;Denis Villeneuve
Za liniπ wroga;5;6.9;17 listopad 2001;2001;26 425;Sensacyjny;USA;1 godz. 46 min.;John Moore
Najpierw strzelaj, potem zwiedzaj;3;7.3;17 styczeÒ 2008;2008;58 641;Dramat;USA;1 godz. 47 min.;Martin McDonagh
Wojna p≥ci;8;6.1;2 wrzesieÒ 2017;2017;12 431;Biograficzny;USA;2 godz. 1 min.;Jonathan Dayton
ToøsamoúÊ zdrajcy;7;6.2;27 kwiecieÒ 2017;2017;16 142;Thriller;Czechy;1 godz. 38 min.;Michael Apted
Kryptonim U.N.C.L.E.;5;7.2;2 sierpieÒ 2015;2015;107 337;Komedia;USA;1 godz. 56 min.;Guy Ritchie
Milczenie;6;6.8;29 listopad 2016;2016;35 569;Dramat historyczny;Japonia;2 godz. 41 min.;Martin Scorsese
Jesienni zabÛjcy;7;5.3;7 listopad 2017;2017;2 621;Dramat;USA;1 godz. 25 min.;Sacha Gervasi
Wind River. Na przeklÍtej ziemi;4;7.4;21 styczeÒ 2017;2017;49 163;Krymina≥;Kanada;1 godz. 47 min.;Taylor Sheridan
The Hurt Locker. W pu≥apce wojny;5;7.3;4 wrzesieÒ 2008;2008;98 904;Dramat;USA;2 godz. 11 min.;Kathryn Bigelow
Osada;9;6.2;26 lipiec 2004;2004;182 385;Thriller;USA;1 godz. 48 min.;M. Night Shyamalan
Moje cÛrki krowy;8;6.8;16 wrzesieÒ 2015;2015;67 273;Dramat;Polska;1 godz. 28 min.;Kinga DÍbska
Ostatni dom po lewej;6;6.6;13 marzec 2009;2009;58 616;Thriller;USA;1 godz. 50 min.;Dennis Iliadis
Ziarno prawdy;7;6.9;19 styczeÒ 2015;2015;69 313;Krymina≥;Polska;1 godz. 50 min.;Borys Lankosz
Akademia Policyjna;6;6.8;23 marzec 1984;1984;91 240;Komedia kryminalna;USA;1 godz. 36 min.;Hugh Wilson
Tysiπc s≥Ûw;8;6.6;9 marzec 2012;2012;41 776;Dramat;USA;1 godz. 31 min.;Brian Robbins
Czarny rycerz;7;6.2;15 listopad 2001;2001;15 722;Komedia;USA;1 godz. 36 min.;Gil Junger
Wycieczka na studia;6;5.8;3 marzec 2008;2008;10 693;Familijny;USA;1 godz. 23 min.;Roger Kumble
Zgon na pogrzebie;7;6.0;12 kwiecieÒ 2010;2010;30 499;Komedia;USA;1 godz. 32 min.;Neil LaBute
Agent XXL 2;7;6.6;26 styczeÒ 2006;2006;32 610;Komedia;USA;1 godz. 39 min.;John Whitesell
Agent XXL: Rodzinny interes;4;6.4;16 luty 2011;2011;19 033;Komedia;USA;1 godz. 47 min.;John Whitesell
Gang Dzikich Wieprzy;NaN;6.4;27 luty 2007;2007;61 303;Komedia;USA;1 godz. 39 min.;Walt Becker
Agent XXL;7;6.5;31 maj 2000;2000;44 205;Komedia;Niemcy;1 godz. 38 min.;Raja Gosnell
Nie ma drugiej takiej;NaN;6.7;16 luty 2018;2018;13 709;Dramat;USA;1 godz. 36 min.;Stephanie Laing
£owca androidÛw;NaN;7.7;25 czerwiec 1982;1982;196 066;Thriller;Chiny;1 godz. 57 min.;Ridley Scott
Volta;7;5.3;20 czerwiec 2017;2017;32 516;Komedia kryminalna;Polska;1 godz. 45 min.;Juliusz Machulski
mother!;5;6.2;5 wrzesieÒ 2017;2017;63 123;Horror;USA;2 godz. 1 min.;Darren Aronofsky
Kac Vegas w Bangkoku;6;6.9;19 maj 2011;2011;306 953;Komedia;USA;1 godz. 42 min.;Todd Phillips
Serena;4;6.0;13 paüdziernik 2014;2014;19 864;Melodramat;Czechy;1 godz. 49 min.;Susanne Bier
3096 dni;8;7.1;28 luty 2013;2013;40 249;Dramat;Niemcy;1 godz. 51 min.;Sherry Hormann
Czas patriotÛw;NaN;7.2;5 czerwiec 1992;1992;26 785;Sensacyjny;USA;1 godz. 57 min.;Phillip Noyce
Ma≥y Nicky;5;6.1;2 listopad 2000;2000;22 171;Fantasy;USA;1 godz. 30 min.;Steven Brill
Matrix Rewolucje;8;7.1;27 paüdziernik 2003;2003;207 256;Akcja;Australia;2 godz. 9 min.;Lilly Wachowski
Matrix Reaktywacja;7;7.2;7 maj 2003;2003;228 745;Akcja;Australia;2 godz. 18 min.;Lilly Wachowski
DzieÒ, w ktÛrym zatrzyma≥a siÍ Ziemia;NaN;5.7;10 grudzieÒ 2008;2008;164 475;Dramat;Kanada;1 godz. 43 min.;Scott Derrickson
Zniewolony. 12 Years a Slave;7;7.5;30 sierpieÒ 2013;2013;146 232;Biograficzny;USA;2 godz. 13 min.;Steve McQueen
PokÛj grozy;8;4.4;9 wrzesieÒ 2016;2016;4 020;Horror;USA;1 godz. 25 min.;D.J. Caruso
Krwawy diament;3;7.5;8 grudzieÒ 2006;2006;257 244;Dramat;Niemcy;2 godz. 23 min.;Edward Zwick
2001: Odyseja kosmiczna;6;7.7;2 kwiecieÒ 1968;1968;131 189;Sci-Fi;USA;2 godz. 21 min.;Stanley Kubrick
Nietykalni;7;8.7;23 wrzesieÒ 2011;2011;649 581;Biograficzny;Francja;1 godz. 52 min.;Olivier Nakache
Valerian i Miasto Tysiπca Planet;8;6.5;17 lipiec 2017;2017;64 453;Akcja;Belgia;2 godz. 17 min.;Luc Besson
Memento;7;7.6;5 wrzesieÒ 2000;2000;187 824;Krymina≥;USA;1 godz. 53 min.;Christopher Nolan
Duøa ryba;4;7.7;10 grudzieÒ 2003;2003;97 539;Dramat;USA;2 godz. 5 min.;Tim Burton
Wyspa;7;7.1;11 lipiec 2005;2005;171 766;Akcja;USA;2 godz. 16 min.;Michael Bay
Wyspa tajemnic;6;8.2;13 luty 2010;2010;559 549;Dramat;USA;2 godz. 18 min.;Martin Scorsese
Trzy billboardy za Ebbing, Missouri;7;7.9;4 wrzesieÒ 2017;2017;197 211;Dramat;USA;1 godz. 55 min.;Martin McDonagh
Asterix i Obelix: Misja Kleopatra;8;7.3;30 styczeÒ 2002;2002;217 658;Familijny;Francja;1 godz. 47 min.;Alain Chabat
NiepamiÍÊ;7;7.4;10 wrzesieÒ 2015;2015;11 695;Dramat;Kanada;1 godz. 35 min.;Atom Egoyan
Wrobiony;8;6.3;23 sierpieÒ 2012;2012;10 442;Thriller;Belgia;1 godz. 40 min.;Philipp Stˆlzl
G≥upi i g≥upszy bardziej;9;5.6;3 listopad 2014;2014;50 672;Komedia;USA;1 godz. 50 min.;Bobby Farrelly
Mechaniczna pomaraÒcza;8;7.9;19 grudzieÒ 1971;1971;206 001;Dramat;USA;2 godz. 16 min.;Stanley Kubrick
Labirynt;8;7.9;30 sierpieÒ 2013;2013;241 585;Thriller;USA;2 godz. 33 min.;Denis Villeneuve
G≥oúniej od bomb;7;6.5;18 maj 2015;2015;5 444;Dramat;Dania;1 godz. 45 min.;Joachim Trier
Oko;NaN;6.2;31 styczeÒ 2008;2008;64 249;Horror;Kanada;1 godz. 37 min.;David Moreau
W pogoni za szczÍúciem;6;8.1;15 grudzieÒ 2006;2006;260 116;Biograficzny;USA;1 godz. 57 min.;Gabriele Muccino
Mroczny zakπtek;6;6.3;31 marzec 2015;2015;14 075;Dramat;Francja;1 godz. 54 min.;Gilles Paquet-Brenner
Jak to robiπ single;5;6.4;10 luty 2016;2016;70 463;Dramat;USA;1 godz. 50 min.;Christian Ditter
Pitch Perfect;7;6.9;28 wrzesieÒ 2012;2012;72 944;Komedia;USA;1 godz. 52 min.;Jason Moore
Sweeney Todd: Demoniczny golibroda z Fleet Street;7;7.5;3 grudzieÒ 2007;2007;206 532;Musical;USA;1 godz. 56 min.;Tim Burton
Siedem dusz;10;8.0;19 grudzieÒ 2008;2008;474 204;Dramat;USA;2 godz. 3 min.;Gabriele Muccino
Kolekcjoner koúci;NaN;7.5;29 sierpieÒ 1999;1999;179 900;Krymina≥;USA;1 godz. 58 min.;Phillip Noyce
Siedem;7;8.3;15 wrzesieÒ 1995;1995;586 820;Krymina≥;USA;2 godz. 7 min.;David Fincher
Jestem Bogiem;5;7.6;8 marzec 2011;2011;334 305;Thriller;USA;1 godz. 45 min.;Neil Burger
Z≥e mamuúki;8;6.6;28 lipiec 2016;2016;77 105;Komedia;USA;1 godz. 41 min.;Jon Lucas
ZwyciÍzca;7;7.2;11 luty 2016;2016;13 305;Biograficzny;Francja;2 godz. 14 min.;Stephen Hopkins
Ukryte dzia≥ania;4;7.6;25 grudzieÒ 2016;2016;58 570;Biograficzny;USA;2 godz. 7 min.;Theodore Melfi
Zaginiona dziewczyna;6;7.8;26 wrzesieÒ 2014;2014;299 932;Dramat;USA;2 godz. 29 min.;David Fincher
Mechanik;7;7.6;18 styczeÒ 2004;2004;132 244;Dramat;Francja;1 godz. 42 min.;Brad Anderson
Milczenie owiec;8;8.2;30 styczeÒ 1991;1991;660 908;Thriller;USA;1 godz. 58 min.;Jonathan Demme
Obdarowani;8;7.8;7 kwiecieÒ 2017;2017;80 656;Dramat;USA;1 godz. 41 min.;Marc Webb
Geostorm;7;5.6;12 paüdziernik 2017;2017;40 459;Sci-Fi;USA;1 godz. 49 min.;Dean Devlin
Disaster Artist;8;7.3;12 marzec 2017;2017;55 843;Biograficzny;USA;1 godz. 43 min.;James Franco
Dom bardzo nawiedzony;8;6.1;11 styczeÒ 2013;2013;28 698;Czarna komedia;USA;1 godz. 26 min.;Michael Tiddes
Requiem dla snu;4;7.8;14 maj 2000;2000;660 014;Dramat;USA;1 godz. 42 min.;Darren Aronofsky
Zapach kobiety;6;8.1;23 grudzieÒ 1992;1992;345 529;Dramat;USA;2 godz. 37 min.;Martin Brest
PiÍkny umys≥;7;8.3;13 grudzieÒ 2001;2001;485 079;Biograficzny;USA;2 godz. 15 min.;Ron Howard
Cz≥owiek-scyzoryk;9;6.8;22 styczeÒ 2016;2016;35 285;Dramat;Szwecja;1 godz. 35 min.;Dan Kwan
Dom otwarty;8;3.4;19 styczeÒ 2018;2018;14 140;Thriller;USA;1 godz. 34 min.;Matt Angel
Aø do koúci;2;6.9;22 styczeÒ 2017;2017;69 429;Dramat;USA;1 godz. 47 min.;Marti Noxon
Zombieland;6;6.8;25 wrzesieÒ 2009;2009;130 945;Horror;USA;1 godz. 28 min.;Ruben Fleischer
Firmowa Gwiazdka;8;5.7;7 grudzieÒ 2016;2016;27 075;Komedia;USA;1 godz. 45 min.;Josh Gordon
Sztuka zrywania;5;6.3;22 maj 2006;2006;63 603;Komedia obycz.;USA;1 godz. 45 min.;Peyton Reed
Bright;7;6.2;22 grudzieÒ 2017;2017;68 489;Fantasy;USA;1 godz. 57 min.;David Ayer
Poprzednie øycie;6;5.9;18 kwiecieÒ 2015;2015;5 160;Thriller;Australia;1 godz. 30 min.;Michael Petroni
MiÍdzy nami kosmos;4;6.7;1 luty 2017;2017;13 956;Sci-Fi;USA;2 godz. 1 min.;Peter Chelsom
Jutro nie umiera nigdy;5;7.0;12 grudzieÒ 1997;1997;60 460;Sensacyjny;USA;1 godz. 59 min.;Roger Spottiswoode
åmierÊ nadejdzie jutro;8;6.8;11 listopad 2002;2002;69 442;Sensacyjny;USA;2 godz. 13 min.;Lee Tamahori
GoldenEye;NaN;7.1;13 listopad 1995;1995;82 895;Sensacyjny;USA;2 godz. 10 min.;Martin Campbell
Porachunki;NaN;6.6;10 wrzesieÒ 2013;2013;43 011;Komedia kryminalna;Francja;1 godz. 51 min.;Luc Besson
Po katastrofie;NaN;5.7;5 kwiecieÒ 2017;2017;4 945;Dramat;USA;1 godz. 34 min.;Elliott Lester
Kingsman: Z≥oty Krπg;6;6.9;20 wrzesieÒ 2017;2017;86 834;Akcja;USA;2 godz. 21 min.;Matthew Vaughn
Ch≥opiec w pasiastej piøamie;8;8.1;12 wrzesieÒ 2008;2008;388 161;Dramat;USA;1 godz. 33 min.;Mark Herman
èrÛd≥o;8;7.3;4 wrzesieÒ 2006;2006;87 337;Dramat;USA;1 godz. 36 min.;Darren Aronofsky
To;7;6.7;5 wrzesieÒ 2017;2017;147 072;Horror;Kanada;2 godz. 15 min.;Andy Muschietti
Jack i Jill;7;5.2;11 listopad 2011;2011;34 175;Komedia;USA;1 godz. 31 min.;Dennis Dugan
